,Taxa,GenomicDNA,rRNA16S,rRNA16S18S,GenomeCopy,CellNumber,NCBITaxonomy,Domain,Phylum,Class,Order,Family,Genus,Species,ex1,ex2,ex3,ex4,ex5,ex6
1,Faecalibacterium.prausnitzii,14,17.63,15.96,14.77,14.82,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Oscillospiraceae; Faecalibacterium; Faecalibacterium.prausnitzii,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium.prausnitzii,,,,,,
2,Veillonella.rogosae,14,15.87,14.37,19.94,20.01,Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Veillonellales; Veillonellaceae; Veillonella; Veillonella.rogosae,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella.rogosae,,,,,,
3,Roseburia.hominis,14,9.89,8.95,12.43,12.47,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Lachnospiraceae; Roseburia; Roseburia.hominis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia.hominis,,,,,,
4,Bacteroides.fragilis,14,9.94,9,8.33,8.36,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides.fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides.fragilis,,,,,,
5,Prevotella.corporis,6,4.98,4.51,6.26,6.28,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella.corporis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella.corporis,,,,,,
6,Bifidobacterium.adolescentis,6,8.78,7.95,8.83,8.86,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium.adolescentis,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium.adolescentis,,,,,,
7,Fusobacterium.nucleatum,6,7.49,6.79,7.53,7.56,Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; Fusobacterium.nucleatum,Bacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium.nucleatum,,,,,,,
8,Lactobacillus.fermentum,6,9.63,8.72,9.68,9.71,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; Limosilactobacillus fermentum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillusfermentum,,,,,,
9,Clostridioides.difficile,1.5,2.62,2.37,1.1,1.1,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides;Clostridioides.difficile,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides.difficile,,,,,,
10,Akkermansia.muciniphila,1.5,0.97,0.87,1.62,1.62,Bacteria; PVC group; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia.muciniphila,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia.muciniphila,,,,,,
